date,cap_swe,sey_swe
3/14/2020,69.55261841,73.85001831
3/15/2020,69.50467529,73.82704468
3/16/2020,69.50075684,73.86254883
3/17/2020,69.6144043,73.89506836
3/18/2020,69.71802368,73.86188965
3/19/2020,69.82158203,73.6012146
3/20/2020,76.65911255,78.88639221
3/21/2020,85.21915894,84.81394043
3/22/2020,86.80426025,85.69623413
3/23/2020,86.15671387,86.80783081
3/24/2020,86.5019043,87.4223877
3/25/2020,86.5019043,87.25081787
3/26/2020,88.85193481,86.9053833
3/27/2020,87.02741699,86.11021729
3/28/2020,86.11387939,85.84243164
3/29/2020,86.19954834,86.24829712
3/30/2020,87.17359009,87.42722778
3/31/2020,87.67610474,88.52301636
4/1/2020,87.51204224,89.45612793
4/2/2020,87.05709229,89.68553467
4/3/2020,85.69966431,88.87061157
4/4/2020,84.56652222,88.13851318
4/5/2020,83.92597656,87.80200806
4/6/2020,83.93419189,87.81918335
4/7/2020,84.28536987,88.03341064
4/8/2020,84.41420898,88.13727417
4/9/2020,84.69675293,88.30645142
4/10/2020,85.47423096,88.85715332
4/11/2020,87.29619141,90.1303833
4/12/2020,89.31448364,91.3680481
4/13/2020,92.06049805,89.20135803
4/14/2020,94.67841797,89.19462891
4/15/2020,97.08898926,89.19462891
4/16/2020,91.04444885,89.19462891
4/17/2020,91.04444885,89.19462891
4/18/2020,96.57289429,89.19462891
4/19/2020,95.17744751,90.55498047
4/20/2020,94.31081543,89.53210449
4/21/2020,92.95717163,88.2522644
4/22/2020,91.66021118,87.09626465
4/23/2020,90.42868652,86.23151855
4/24/2020,89.33463745,85.22316895
4/25/2020,88.32265625,84.27473755
4/26/2020,89.05877686,85.13474121
4/27/2020,88.57548828,84.82389526
4/28/2020,86.89954224,84.08516235
4/29/2020,84.82736816,83.00499878
4/30/2020,82.38756714,81.4723999
5/1/2020,80.07287598,79.94129639
5/2/2020,77.13027344,77.84052734
5/3/2020,74.06196289,75.57045288
5/4/2020,71.6630127,73.74398193
5/5/2020,69.65177612,72.23969727
5/6/2020,70.61982422,72.7815979
5/7/2020,71.37862549,73.09893188
5/8/2020,72.1616333,73.32662354
5/9/2020,73.87466431,74.14324951
5/10/2020,75.03376465,74.41660767
5/11/2020,75.48357544,74.03249512
5/12/2020,75.19296265,72.98082275
5/13/2020,74.47467041,72.04911499
5/14/2020,72.66957397,69.63379517
5/15/2020,70.275354,66.88842163
5/16/2020,68.59360962,65.32479858
5/17/2020,67.03374634,63.96911621
5/18/2020,65.66621094,62.75299072
5/19/2020,64.83759155,61.83067017
5/20/2020,63.80993042,60.7972168
5/21/2020,62.33242798,59.38458252
5/22/2020,60.47794189,57.80531616
5/23/2020,59.15465698,56.61326904
5/24/2020,58.45740356,56.00888062
5/25/2020,57.32821655,55.04492188
5/26/2020,56.26420288,54.08165894
